bed_count,zip_cod,ccn,medicare_medicaid_eligible
82,95376,050313,True
613,94602,050320,True
332,92037,050324,True
533,92354,050327,True
240,92882,050329,True
263,93901,050334,True
143,95370,050335,True
190,95240,050336,True
415,92868,050348,True
224,90640,050350,True
366,90503,050353,True
1395,90033,050373,True
242,91352,050378,True
404,95124,050380,True
193,91723,050382,True
54,94133,050407,True
251,90710,050411,True
106,95630,050414,True
49,95531,050417,True
173,92037,050424,True
628,95825,050425,True
625,91109,050438,True
613,94305,050441,True
186,95340,050444,True
1019,94143,050454,True
255,93301,050455,True
339,94117,050457,True
236,91307,050481,True
570,90806,050485,True
155,94546,050488,True
303,94520,050496,True
97,95603,050498,True
158,92024,050503,True
120,94903,050510,True
193,94538,050512,True
659,92120,050515,True
370,95608,050516,True
111,94509,050523,True
131,92647,050526,True
48,93635,050528,True
48,95616,050537,True
149,94063,050541,True
122,92627,050543,True
273,91360,050549,True
275,95355,050557,True
293,90034,050561,True
565,92691,050567,True
289,92270,050573,True
112,91710,050586,True
158,95823,050590,True
106,91740,050597,True
631,95817,050599,True
325,92653,050603,True
247,95119,050604,True
156,93215,050608,True
262,92806,050609,True
180,93010,050616,True
877,90048,050625,True
236,92064,050636,True
241,95823,050674,True
218,91367,050677,True
210,92708,050678,True
84,92585,050684,True
226,92505,050686,True
173,95403,050690,True
250,92562,050701,True
96,91402,050704,True
31,93710,050708,True
169,93720,050710,True
30,95065,050714,True
395,90242,050717,True
269,91706,050723,True
23,95355,050726,True
346,90301,050739,True
189,92805,050744,True
84,92869,050745,True
282,92705,050746,True
178,92704,050747,True
153,91403,050755,True
106,91763,050758,True
150,94531,050760,True
245,91356,050761,True
101,92555,050765,True
14,95991,050766,True
72,95688,050767,True
70,92618,050769,True
106,92563,050770,True
340,95661,050772,True
108,94577,050777,True
99,91767,050782,True
112,93274,050784,True
17,90036,050785,True
9,96122,051300,True
24,93561,051301,True
17,93546,051303,True
34,95338,051304,True
12,90704,051307,True
25,95490,051310,True
24,95948,051311,True
27,93240,051314,True
25,96093,051315,True
32,95422,051317,True
25,95540,051318,True
33,96067,051319,True
25,93514,051324,True
25,95437,051325,True
26,96020,051327,True
72,96161,051328,True
30,95453,051329,True
25,95249,051332,True
30,92315,051335,True
25,93930,051336,True
25,95023,051337,True
99,90026,052031,True
81,90056,052032,True
58,95630,052033,True
99,94577,052034,True
70,92104,052036,True
91,91764,052037,True
277,90638,052038,True
48,92821,052039,True
120,94904,052043,True
95,91706,052045,True
56,96001,052047,True
55,91730,052049,True
58,90247,052050,True
40,92571,052052,True
86,93309,053031,True
62,93720,053032,True
117,92782,053034,True
60,92411,053037,True
50,95355,053040,True
50,92270,053041,True
50,92563,053042,True
52,92029,053043,True
190,94609,053301,True
396,94304,053305,True
80,95817,053311,True
209,90095,054009,True
95,91724,054069,True
61,94590,054074,True
66,91942,054075,True
87,93001,054077,True
89,92373,054093,True
73,95826,054096,True
35,95204,054123,True
68,92506,054130,True
73,94524,054131,True
149,92123,054145,True
80,95138,054154,True
90,93309,054155,True
128,91740,054157,True
521,92123,059800,True
0,90048,059801,True
0,94304,059804,True
0,94109,059806,True
0,95817,059808,True
0,95816,059809,True
0,92103,059810,True
0,92868,059811,True
0,92354,059814,True
0,92037,059815,True
0,92868,059816,True
0,90509,059818,True
98,80601,060004,True
75,81401,060006,True
59,81101,060008,True
680,80218,060014,True
422,80220,060032,True
368,80113,060034,True
157,80229,060065,True
58,81657,060096,True
346,80012,060100,True
46,80206,060107,True
186,80124,060112,True
234,80026,060116,True
12,81301,060117,True
25,81036,061300,True
25,80731,061304,True
16,80734,061305,True
25,81648,061307,True
17,81140,061308,True
15,80758,061309,True
25,80737,061310,True
23,81073,061311,True
25,81089,061316,True
