bed_count,zip_cod,ccn,medicare_medicaid_eligible
129,72450,040039,True
170,72801,040041,True
50,72455,040047,True
98,71701,040050,True
60,71655,040051,True
492,72901,040055,True
360,72903,040062,True
70,71753,040067,True
168,72315,040069,True
300,71603,040071,True
49,72160,040072,True
72,72104,040076,True
163,71901,040078,True
177,72015,040084,True
155,72342,040085,True
149,71730,040088,True
25,72315,04008,False
254,72701,04009,False
471,72206,04010,False
807,72205,040114,True
228,72405,040118,True
224,72503,040119,True
2062,72114,04011,False
50,71901,040132,True
110,72211,040134,True
69,72120,040137,True
40,72201,04013,False
47,72118,040147,True
21,72703,040152,True
79,71801,040153,True
111,72032,040154,True
44,72401,040155,True
11,72301,040156,True
1,72211,040157,True
1,72204,040158,True
25,72022,040161,True
133,72112,040163,True
0,72032,04020,False
8,72020,04022,False
13,72855,041300,True
35,72834,041302,True
25,72949,041303,True
15,72632,041304,True
24,72958,041305,True
25,72519,041306,True
25,72396,041307,True
25,71654,041308,True
25,72476,041309,True
25,72560,041310,True
25,71852,041311,True
25,72543,041312,True
25,72031,041313,True
25,72042,041314,True
25,72370,041316,True
25,71742,041317,True
25,72927,041318,True
25,71822,041320,True
25,71923,041321,True
25,72576,041322,True
33,71635,041323,True
35,72110,041324,True
25,71639,041326,True
35,71671,041327,True
25,71653,041328,True
25,72616,041329,True
25,72454,041330,True
25,72736,041331,True
27,71913,042004,True
34,72901,042006,True
25,72903,042008,True
25,72764,042009,True
40,72205,042010,True
27,72143,042011,True
55,72205,042012,True
99,72401,042013,True
120,72205,043026,True
80,72901,043028,True
80,72401,043029,True
80,72120,043031,True
80,72703,043032,True
26,72034,043033,True
10,71653,043034,True
40,71913,043035,True
36,72758,043036,True
50,72916,043037,True
336,72202,043300,True
24,72762,043301,True
114,72703,044004,True
127,72113,044005,True
114,72923,044006,True
80,72019,044007,True
321,72205,044011,True
127,72211,044013,True
60,72113,044017,True
80,72704,044019,True
62,71854,044020,True
54,72301,044021,True
80,72034,044022,True
0,72202,049801,True
0,72205,049802,True
0,72205,049803,True
129,94545,050002,True
140,95501,050006,True
301,94010,050007,True
153,94117,050008,True
171,94558,050009,True
181,94574,050013,True
52,95642,050014,True
67,93420,050016,True
419,95819,050017,True
30,93401,05001,False
478,92501,050022,True
237,91950,050024,True
600,92103,050025,True
536,91942,050026,True
80,95521,050028,True
153,95966,050030,True
421,93301,050036,True
1182,95128,050038,True
298,95926,050039,True
324,91342,050040,True
76,96080,050042,True
569,94609,050043,True
161,92243,050045,True
608,94109,050047,True
72,92220,050054,True
120,94110,050055,True
341,93534,050056,True
448,93291,050057,True
334,91204,050058,True
794,93721,050060,True
345,90027,050063,True
39,95361,050067,True
462,92868,050069,True
120,94080,050070,True
327,95051,050071,True
362,94596,050072,True
475,94589,050073,True
396,94611,050075,True
239,94115,050076,True
700,92103,050077,True
387,90732,050078,True
40,95903,05007,False
265,93030,050082,True
335,95204,050084,True
347,92411,050089,True
83,95476,050090,True
81,90255,050091,True
436,93710,050093,True
57,91790,050096,True
281,91786,050099,True
45,93523,05009,False
881,92123,050100,True
111,94589,050101,True
193,92503,050102,True
377,90033,050103,True
448,90262,050104,True
227,93454,050107,True
523,95816,050108,True
35,92393,05010,False
170,93436,050110,True
363,90404,050112,True
103,94403,050113,True
679,92025,050115,True
435,91325,050116,True
73,95336,050118,True
55,94945,05011,False
230,93230,050121,True
211,95203,050122,True
158,91208,050124,True
264,95116,050125,True
362,91406,050126,True
122,95695,050127,True
397,92056,050128,True
291,92404,050129,True
152,92508,05012,False
75,94945,050131,True
273,91776,050132,True
173,95901,050133,True
579,90028,050135,True
99,94954,050136,True
325,91402,050137,True
507,90027,050138,True
352,90242,050139,True
75,95655,05013,False
438,92335,050140,True
258,93940,050145,True
212,91010,050146,True
309,90015,050149,True
15,92408,05014,False
124,95945,050150,True
288,94109,050152,True
150,91436,050158,True
272,93003,050159,True
385,94535,05015,False
196,95231,050167,True
301,92835,050168,True
547,90602,050169,True
105,93437,05016,False
346,95405,050174,True
354,95382,050179,True
50,90731,05017,False
296,94598,050180,True
500,93933,05018,False
539,90813,050191,True
49,93654,050192,True
106,95076,050194,True
265,94538,050195,True
208,94062,050197,True
157,93552,050204,True
525,92055,05020,False
145,94501,050211,True
750,94614,05021,False
306,91911,050222,True
409,92663,050224,True
224,92801,050226,True
367,94110,050228,True
2050,92134,05022,False
167,92843,050230,True
447,91767,050231,True
135,93401,050232,True
204,92118,050234,True
360,91505,050235,True
149,93065,050236,True
374,91006,050238,True
515,91206,050239,True
